年级,单词,释义,英文句子,中文翻译
6,absorbed,专注的,She was so absorbed in her book that she didn't hear the doorbell ring.,她全神贯注地看书，以至于没听见门铃响。
6,academic,学术的,She is pursuing an academic career in biology.,她正在生物学领域追求学术事业。
6,accidental,意外的,She made an accidental mistake while typing.,她打字时犯了个意外错误。
6,accordingly,相应地,She studied hard and accordingly passed the exam.,她学习很努力，因此通过了考试。
6,accountant,会计师,My mother works as an accountant in a big company.,我的妈妈在一家大公司当会计。
6,accuracy,准确性,We need to check the accuracy of the data before reporting.,我们需要在报告前检查数据的准确性。
5,accurate,准确的,Her accurate report helped solve the problem quickly.,她准确的报告帮助迅速解决了问题。
6,accustom,使习惯,It takes time to accustom oneself to a new environment.,适应新环境需要时间。
5,accustomed,习惯的,She is accustomed to reading before bed.,她习惯睡前阅读。
6,acquaint,使熟悉,I want to acquaint you with my new friend.,我想让你认识一下我的新朋友。
4,active,活跃的,She leads an active lifestyle by exercising daily.,她通过每天锻炼过着积极的生活方式。
6,actress,女演员,The actress performed beautifully on the stage.,那位女演员在舞台上表演得很精彩。
5,actual,实际的,I need to know the actual time.,我需要知道实际时间。
6,actually,实际上,I actually like reading books in my free time.,实际上我喜欢在空闲时间读书。
6,addict,成瘾者,He used to be a drug addict but now he is trying to get better.,他曾经是个瘾君子，但现在正努力变好。
6,additional,额外的,She needs additional time to finish the project.,她需要额外的时间来完成这个项目。
5,adequate,足够的,We need adequate time to finish the project.,我们需要足够的时间来完成这个项目。
6,adjective,形容词,She wore a beautiful adjective dress to the party.,"她穿着一条漂亮的形容词连衣裙去参加派对。  

（说明：原句中""adjective""为名词""形容词""，此处直接保留其字面含义进行翻译，未作语义修正。）"
6,adolescence,青春期,Adolescence is a period of growth and change.,青春期是一个成长和变化的时期。
6,adolescent,青少年,The adolescent enjoys playing basketball with friends after school.,这个青少年喜欢放学后和朋友们一起打篮球。
6,advanced,先进的,She is learning advanced math skills.,她正在学习高级数学技能。
5,advisable,明智的,It is advisable to wear a coat in cold weather.,天冷时建议穿外套。
6,advocate,拥护者,She likes to advocate for environmental protection.,她喜欢倡导环境保护。
5,African,非洲的,She dreams of visiting African countries one day.,她梦想着有一天能游览非洲国家。
5,agent,代理人,The agent helped me find my lost luggage.,那个代理人帮我找到了我丢失的行李。
6,aggressive,侵略的,The dog became aggressive when someone approached its food.,当有人靠近狗的食物时，它变得具有攻击性。
6,agricultural,农业的,The agricultural sector provides food for many people.,农业部门为许多人提供食物
3,ahead,在前面,We need to plan ahead for the trip.,我们需要为这次旅行提前计划。
1,AIDS,艾滋病,AIDS is a serious disease caused by HIV.,艾滋病是一种由艾滋病病毒引起的严重疾病。
6,alcoholic,酗酒者,He has struggled with being an alcoholic for many years.,他多年来一直在与酗酒问题作斗争。
6,alike,相似的,Boys and girls are alike in their love for toys.,男孩和女孩在对玩具的喜爱方面是相似的。
5,alive,活着的,The cat is alive and running in the garden.,那只猫还活着，正在花园里跑。
6,allergic,过敏的,She is allergic to cats.,她对猫过敏。
6,alongside,在旁边,She walked alongside her brother to school.,她和哥哥一起步行去学校。
5,aloud,出声地,She read the story aloud to the children.,她大声地给孩子们读了这个故事。
3,alphabet,字母表,The alphabet has 26 letters in English.,英语字母表有26个字母。
6,alternative,替代的,We need to find an alternative solution to this problem.,我们需要找到这个问题的替代解决方案。
5,amaze,使惊奇,Her talent and hard work never fail to amaze me.,她的才华和勤奋总是让我惊叹不已。
6,ambulance,救护车,An ambulance rushed to the accident scene.,一辆救护车冲向事故现场。
4,American,美国的,She is an American student.,她是一名美国学生。
5,ample,充足的,We have ample time to finish the project.,我们有充足的时间完成这个项目。
6,analyst,分析师,The analyst reviews market data daily to provide insights.,分析师每天审阅市场数据以提供见解。
5,ancient,古代的,The ancient temple stands on a hillside.,这座古老的寺庙坐落在山坡上。
5,angry,生气的,She looks angry because she missed the bus.,她看起来很生气，因为她错过了公交车。
6,announcer,广播员,The announcer read the news clearly.,播音员清晰地播报了新闻。
5,annoy,使恼怒,Loud noises annoy me a lot.,大声的噪音让我很烦恼。
6,annual,年度的,We have an annual meeting every December.,我们每年十二月开一次年会。
3,another,另一个,I need another book to read.,我需要另一本书来读。
6,Antarctic,南极的,Penguins live in the Antarctic.,企鹅生活在南极。
5,Antarctica,南极洲,Antarctica is a continent covered in ice.,南极洲是一片被冰覆盖的大陆。
5,anxious,焦虑的,She felt anxious before the exam.,考试前她感到焦虑。
4,anybody,任何人,Is there anybody here who can help me?,有人能帮帮我吗
3,anyone,任何人,Anyone can learn to swim with practice.,任何人通过练习都能学会游泳。
6,apparent,明显的,Her apparent happiness hid her true feelings.,她表面上的快乐掩盖了她真实的感受。
6,applicant,申请人,The applicant submitted a resume yesterday.,申请人昨天提交了一份简历
6,appropriate,适当的,It is appropriate to wear a coat in cold weather.,在寒冷的天气里穿外套是合适的。
6,arbitrary,任意的,We can choose any arbitrary color for the wall.,我们可以为这面墙选择任何颜色。
6,architect,建筑师,The architect designed a beautiful house.,建筑师设计了一座漂亮的房子。
6,arrogant,傲慢的,His arrogant attitude made everyone uncomfortable.,他傲慢的态度让每个人都感到不舒服。
6,artificial,人工的,Scientists are developing artificial intelligence to help solve complex problems.,科学家们正在开发人工智能以帮助解决复杂问题。
6,artist,艺术家,The artist paints beautiful pictures in the studio.,这位艺术家在工作室里画美丽的画。
6,artistic,艺术的,She has an artistic eye for beautiful colors.,她对美丽的色彩有着艺术的鉴赏力。
6,ashamed,惭愧的,She felt ashamed of her mistake.,她为自己的错误感到羞愧。
5,aside,在一边,She stepped aside to let the old man pass.,她走到一边让老人过去。
3,asleep,睡着的,The baby is asleep in the crib.,婴儿在婴儿床里睡着了。
6,astonish,使惊讶,Her talent will astonish everyone.,她的才华会让所有人惊讶。
5,astronaut,宇航员,The astronaut explored the space station.,宇航员探索了空间站。
6,astronomy,天文学,I enjoy learning about astronomy and the stars.,我喜欢学习天文学和星星的知识。
5,athlete,运动员,The athlete trains hard every day.,这位运动员每天都刻苦训练。
5,athletic,运动的,She is an athletic girl who loves playing basketball every day.,她是一个热爱每天打篮球的运动型女孩。
6,Atlantic,大西洋,The Atlantic Ocean is vast and blue.,大西洋广阔而蔚蓝。
6,atmospheric,大气的,The atmospheric conditions today are perfect for a picnic.,今天的天气状况非常适合野餐。
6,atomic,原子的,Atomic structure is the basic unit of matter.,原子结构是物质的基本单位。
4,attendant,服务员,The flight attendant helped the passenger with their luggage.,空乘人员帮助乘客搬运行李。
6,attentive,注意的,She is always attentive in class.,她上课总是很专心。
5,attraction,吸引力,The main attraction of the park is its beautiful lake.,这个公园的主要景点是它美丽的湖。
